Table_Name,Column_Name,Mandatory,Percentage_of_not_null_values,Data_Type_Python,Min_Length,Max_Length,Scale,Precision,Data_Type,Sample_Value(s)
Bowling_ODI,Unnamed: 0,Yes,100.000000,int64,1.000000,2.000000,,,Integer,"0, 9"
Bowling_ODI,Player,Yes,100.000000,object,10.000000,30.000000,,,Alphanumeric,"A Bagai (CAN), Zulqarnain Haider (PAK)"
Bowling_ODI,Span,Yes,100.000000,object,9.000000,9.000000,,,Alphanumeric,"1971-1971, 2019-2019"
Bowling_ODI,Mat,Yes,100.000000,int64,1.000000,3.000000,,,Integer,"1, 99"
Bowling_ODI,Inns,Yes,100.000000,object,1.000000,3.000000,,,Alphanumeric,"-, 99"
Bowling_ODI,Balls,Yes,100.000000,object,1.000000,5.000000,,,Alphanumeric,"-, 997"
Bowling_ODI,Runs,Yes,100.000000,object,1.000000,5.000000,,,Alphanumeric,"-, 999"
Bowling_ODI,Wkts,Yes,100.000000,object,1.000000,3.000000,,,Alphanumeric,"-, 99"
Bowling_ODI,BBI,Yes,100.000000,object,1.000000,4.000000,,,Alphanumeric,"-, 8/19"
Bowling_ODI,Ave,Yes,100.000000,object,1.000000,6.000000,,,Alphanumeric,"-, 98.0"
Bowling_ODI,Econ,Yes,100.000000,object,1.000000,5.000000,,,Alphanumeric,"-, 9.83"
Bowling_ODI,SR,Yes,100.000000,object,1.000000,5.000000,,,Alphanumeric,"-, 99.0"
Bowling_ODI,4,Yes,100.000000,object,1.000000,2.000000,,,Alphanumeric,"-, 9"
Bowling_ODI,5,Yes,100.000000,object,1.000000,2.000000,,,Alphanumeric,"-, 9"
Bowling_ODI,Unnamed: 13,Default_Null,0.000000,float64,,,,,Not_Applicable,
