Player,Span,Mat,Inns,Dis,Ct,St
MS Singh (INDIA),2006-2019,98,97,91,57,34
AB de Villiers (SA),2006-2017,88,78,72,65,7
D Ramdin (WI),2006-2019,71,81,63,43,20
Kamran Akmal (PAK),2006-2017,58,58,70,28,32
Mushfiqur Rahim (BDESH),2006-2019,84,82,59,41,38
Mohammad Shahzad (AFG),2010-2018,65,65,54,26,28
DA Miller (SA/World),2010-2019,72,72,52,51,1
Umar Akmal (PAK),2009-2019,84,84,52,50,2
Shoaib Malik (ICC/PAK),2006-2019,111,111,50,50,0
Q de Kock (SA),2012-2019,38,38,46,36,10
MJ Guptill (NZ),2009-2019,83,82,46,46,0
GC Wilson (IRE),2008-2019,78,76,46,39,7
KC Sangakkara (SL),2006-2014,56,56,45,25,20
Sarfaraz Ahmed (PAK),2010-2019,58,58,45,35,10
BB McCullum (NZ),2005-2015,71,71,44,36,8
LRPL Taylor (NZ),2006-2019,95,95,44,44,0
DA Warner (AUS),2009-2019,76,76,43,43,0
SK Raina (INDIA),2006-2018,78,78,42,42,0
Mohammad Nabi (AFG),2010-2019,75,75,41,41,0
RG Sharma (INDIA),2007-2019,104,104,38,38,0
LD Chandimal (SL),2010-2018,54,54,37,32,5
V Kohli (INDIA),2010-2019,75,75,37,37,0
EJG Morgan (ENG),2009-2019,86,86,37,37,0
GH Dockrell (IRE),2010-2019,73,70,36,36,0
DJ Bravo (WI),2006-2016,66,66,35,35,0
JP Duminy (SA),2007-2019,81,81,35,35,0
KJ O'Brien (IRE),2008-2019,90,86,34,34,0
KA Pollard (WI),2008-2019,68,68,34,34,0
MH Cross (SCOT),2013-2019,43,41,33,22,11
TM Dilshan (SL),2006-2016,80,80,33,31,2
AD Hales (ENG),2011-2019,60,59,32,32,0
BN Cooper (NL),2013-2019,51,50,31,31,0
Mahmudullah (BDESH),2007-2019,83,81,31,31,0
DJG Sammy (WI/World),2007-2017,68,68,31,31,0
JM Bairstow (ENG),2011-2019,34,34,30,30,0
GJ Maxwell (AUS),2012-2019,61,60,30,30,0
NLTC Perera (ICC/SL/World),2010-2019,79,79,30,30,0
L Ronchi (AUS/ICC/NZ),2008-2018,33,33,30,24,6
Shahid Afridi (ICC/PAK),2006-2018,99,99,30,30,0
TG Southee (NZ),2008-2019,66,65,29,29,0
PW Borren (NL),2008-2017,43,41,28,28,0
SA Edwards (NL),2018-2019,29,28,28,24,4
PM Seelaar (NL),2008-2019,69,67,28,28,0
W Barresi (NL),2012-2019,42,40,27,26,1
JC Buttler (ENG),2011-2018,66,65,27,23,4
CS MacLeod (SCOT),2009-2019,49,49,27,27,0
Najibullah Zadran (AFG),2012-2019,57,57,27,27,0
NJ O'Brien (IRE),2008-2016,30,28,27,17,10
KS Williamson (NZ),2011-2019,57,56,27,27,0
NL McCullum (NZ),2007-2016,63,63,26,26,0
H Masakadza (ZIM),2006-2019,66,66,25,25,0
Mohammad Hafeez (PAK),2006-2018,89,89,25,25,0
Sabbir Rahman (BDESH),2014-2019,44,43,25,25,0
AJ Finch (AUS),2011-2019,58,57,24,24,0
DJ Hussey (AUS),2008-2012,39,39,24,24,0
BJ Haddin (AUS),2006-2014,34,34,23,17,6
CJ Jordan (ENG),2014-2019,43,43,23,23,0
AD Mathews (SL),2009-2018,72,72,23,23,0
HH Pandya (INDIA),2016-2019,40,40,23,23,0
Soumya Sarkar (BDESH),2015-2019,46,45,23,23,0
SR Thompson (IRE),2014-2019,41,39,23,23,0
CL White (AUS),2007-2014,47,47,23,23,0
AT Carey (AUS),2018-2019,25,24,22,13,9
ADS Fletcher (WI),2008-2018,42,42,22,21,1
WTS Porterfield (IRE),2008-2018,61,59,22,22,0
PR Stirling (IRE),2009-2019,72,71,22,22,0
SCJ Broad (ENG),2006-2014,56,56,21,21,0
F du Plessis (SA/World),2012-2019,44,44,21,21,0
SPD Smith (AUS),2010-2019,36,36,21,21,0
Asghar Afghan (AFG),2010-2019,66,66,20,20,0
MEK Hussey (AUS),2005-2012,38,38,20,20,0
RA Jadeja (INDIA),2009-2019,46,46,20,20,0
C Kieswetter (ENG),2010-2012,25,25,20,17,3
SL Malinga (SL),2006-2019,79,79,20,20,0
CO Obuya (KENYA),2007-2019,35,35,20,20,0
L Siaka (PNG),2015-2019,26,26,20,20,0
LMP Simmons (WI),2007-2019,49,49,20,20,0
SR Watson (AUS),2006-2016,58,58,20,20,0
HM Amla (SA/World),2009-2018,44,44,19,19,0
CJ Anderson (NZ),2012-2018,31,31,19,19,0
MV Boucher (SA),2005-2010,25,25,19,18,1
CR Brathwaite (WI),2011-2019,41,41,19,19,0
E Chigumbura (ZIM),2006-2019,54,54,19,19,0
KJ Coetzer (SCOT),2008-2019,58,56,19,19,0
KD Karthik (ICC/INDIA),2006-2019,32,31,19,14,5
R Mutumbami (ZIM),2015-2019,22,22,19,15,4
RR Patel (KENYA),2008-2019,30,30,19,19,0
Shakib Al Hasan (BDESH),2006-2019,76,75,19,19,0
BRM Taylor (ZIM),2006-2019,38,38,19,17,2
RE van der Merwe (NL/SA),2009-2019,43,42,19,19,0
C de Grandhomme (NZ),2012-2019,33,33,18,18,0
S Dhawan (INDIA),2011-2019,58,58,18,18,0
Gulbadin Naib (AFG),2012-2019,45,45,18,18,0
MA Leask (SCOT),2013-2019,31,29,18,18,0
C Munro (NZ),2012-2019,60,59,18,18,0
JE Root (ENG),2012-2019,32,32,18,18,0
Samiullah Shinwari (AFG),2010-2019,62,62,18,18,0
GC Smith (SA),2005-2011,33,33,18,18,0
Tamim Iqbal (BDESH/ICC/World),2007-2018,75,73,18,18,0
Umar Gul (PAK),2007-2016,60,60,18,18,0
J Botha (SA),2006-2012,40,40,17,17,0
AC Gilchrist (AUS),2005-2008,13,13,17,17,0
DPMD Jayawardene (SL),2006-2014,55,55,17,17,0
CK Kapugedera (SL),2006-2017,43,43,17,17,0
KMDN Kulasekara (SL),2008-2017,58,58,17,17,0
JA Morkel (SA),2005-2015,50,50,17,17,0
MDKJ Perera (SL),2013-2019,42,42,17,13,4
Sikandar Raza (ZIM),2013-2019,32,32,17,17,0
BDH Stevens (JER),2019-2019,17,17,17,17,0
Sultan Ahmed (OMAN),2015-2017,17,16,17,14,3
Babar Hayat (HKG),2014-2017,24,24,16,16,0
SW Billings (ENG/ICC),2015-2019,26,26,16,15,1
K Doriga (PNG),2019-2019,17,17,16,15,1
Hamza Tariq (CAN),2013-2019,15,15,16,12,4
JW Jenner (JER),2019-2019,17,17,16,16,0
P Khadka (NEPAL),2014-2019,30,30,16,16,0
Nawroz Mangal (AFG),2010-2017,32,32,16,16,0
AM Rahane (INDIA),2011-2016,20,20,16,16,0
WB Rankin (ENG/IRE),2009-2019,48,47,16,16,0
Rashid Khan (AFG/ICC),2015-2019,45,45,16,16,0
Shafiqullah (AFG),2010-2019,46,46,16,14,2
Ahmed Shehzad (PAK),2009-2019,59,59,15,15,0
Babar Azam (PAK),2016-2019,36,36,15,15,0
B Bhandari (NEPAL),2014-2019,27,27,15,10,5
PD Collingwood (ENG/World),2005-2017,36,36,15,15,0
CH Gayle (WI),2006-2019,58,58,15,15,0
Ghulam Shabber (UAE),2016-2019,17,17,15,14,1
ZE Green (NAM),2019-2019,16,16,15,10,5
Nasir Hossain (BDESH),2011-2016,31,30,15,15,0
SW Poynter (IRE),2015-2019,25,23,15,13,2
MS Wade (AUS),2011-2016,26,26,15,13,2
CAK Walton (WI),2014-2018,19,19,15,13,2
SC Williams (ZIM),2006-2019,38,38,15,15,0
JJ Atkinson (HKG),2014-2016,13,13,14,14,0
A Balbirnie (IRE),2015-2019,37,35,14,14,0
F Behardien (SA),2012-2018,38,38,14,14,0
Fakhar Zaman (PAK),2017-2019,34,34,14,14,0
Imad Wasim (PAK),2015-2019,41,41,14,14,0
IA Karim (KENYA),2013-2019,16,16,14,11,3
G Malla (NEPAL),2014-2019,24,24,14,14,0
Misbah-ul-Haq (PAK),2007-2012,39,39,14,14,0
MP O'Dowd (NL),2015-2019,36,35,14,14,0
KP Pietersen (ENG),2005-2013,37,36,14,14,0
MJ Santner (NZ),2015-2019,39,38,14,14,0
A Vala (PNG),2015-2019,26,26,14,14,0
J Vira (VAN),2019-2019,14,14,14,10,4
LJ Wright (ENG),2007-2014,51,50,14,14,0
AC Agar (AUS),2016-2019,21,21,13,13,0
Ahmed Raza (UAE),2014-2019,36,36,13,13,0
Ahsan Malik (NL),2012-2017,31,30,13,13,0
TC Bruce (NZ),2017-2019,15,14,13,13,0
